id,cast,crew
408975,9,8
411277,4,3
440078,26,7
355135,0,2
163335,10,1
108087,12,4
8665,41,32
3131,116,56
665664,16,8
53095,12,20
699192,5,1
265133,0,0
778089,18,0
525342,13,5
44421,8,8
16381,18,11
22537,11,3
643410,0,0
382132,0,6
776002,1,6
762804,0,1
749714,1,1
700053,0,1
659485,1,14
641663,0,1
629582,5,4
613704,0,1
599866,0,1
599864,0,1
599863,0,1
599861,0,1
599860,0,1
599859,0,1
594749,0,1
592280,5,1
579624,0,1
575494,0,2
575408,0,1
534949,0,1
527784,0,1
526755,0,1
515056,0,4
487826,5,4
473108,0,1
472414,0,1
436312,0,1
403271,0,1
384381,0,1
384376,0,1
384374,0,1
371371,0,0
359650,0,5
354113,0,1
352203,0,1
326044,0,0
308630,0,1
274986,1,2
247029,0,3
170771,5,2
138470,4,3
115591,0,1
105133,8,8
65182,10,2
58505,5,2
50373,7,9
39019,19,2
8587,30,208
810786,0,1
491853,6,0
73586,7,0
45018,15,3
10229,42,26
9645,11,125
164420,4,5
411274,4,3
26886,16,21
11891,12,79
10133,39,11
2501,51,189
735426,24,0
521091,4,3
451478,8,6
131294,0,1
117811,15,5
11838,29,18
1430,23,24
283817,4,4
764734,1,0
345022,4,8
4108,26,132
47198,8,5
376704,7,4
36933,10,4
979,16,31
738944,10,6
131597,10,1
797230,8,3
535932,9,5
778092,20,0
373459,0,0
553264,19,11
804178,6,1
9994,18,25
121,109,97
292808,6,3
801895,1,0
205753,1,0
124785,1,4
44727,15,2
821486,3,2
709279,7,2
8859,20,154
2017,17,32
808580,0,0
98613,3,1
36669,45,67
21393,30,21
16028,16,124
2294,41,150
806573,17,3
200388,24,2
55706,9,11
10771,63,52
512707,1,1
63420,2,4
363837,5,1
166823,3,2
730936,17,2
208822,6,1
20616,32,110
701913,0,1
717855,4,1
5845,5,15
138256,10,3
618918,1,0
112294,8,5
99647,4,7
36255,25,1
7299,21,93
618673,0,1
432219,1,7
71396,8,21
69697,9,8
9480,73,235
693356,0,0
451097,5,4
53130,8,5
583913,11,13
747965,12,2
405644,2,2
312403,10,3
2433,69,53
516951,8,1
103124,8,3
39202,7,4
16860,12,10
9023,15,27
1574,39,46
683653,18,10
356689,9,2
265850,22,1
72902,4,0
500,25,83
639389,16,1
448939,6,2
448917,25,0
36564,10,29
796089,0,1
102327,4,4
36182,11,2
18357,40,80
582274,8,2
497316,6,10
85702,3,7
256434,0,1
110855,17,2
6278,25,165
2334,46,46
590,21,18
812548,3,4
95274,4,0
102802,2,1
80089,6,4
674362,7,2
208831,7,1
55931,32,27
11022,27,34
2642,27,22
65,15,127
448941,6,2
320383,9,3
675521,0,3
76819,5,7
378993,0,3
346279,0,1
336022,6,1
278470,4,5
528086,1,0
226259,0,2
9341,54,376
604,77,32
79,27,23
691889,3,5
335556,8,6
288553,3,1
573782,9,9
